modelo,seed,n_layers,mean_last_100_loss,mse_mesh,model_path,model_type,n_qubits,k,n_vertex,entangler
QNN$_7$,1924,1,0.0001887134171556,2.8110254197502798,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_7_n_l_1_seed_1924.pth,QNN,7,,,strong
QNN$_7$,1925,1,3.392580438230652e-05,0.4017861371046041,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_7_n_l_1_seed_1925.pth,QNN,7,,,strong
QNN$_7$,1926,1,4.8528998158872126e-05,0.6024135278724279,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_7_n_l_1_seed_1926.pth,QNN,7,,,strong
QNN$_7$,1924,3,4.739102991152322e-05,0.5693400401558791,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_7_n_l_3_seed_1924.pth,QNN,7,,,strong
QNN$_7$,1925,3,9.57252038642764e-05,1.2927884063429504,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_7_n_l_3_seed_1925.pth,QNN,7,,,strong
QNN$_7$,1926,3,4.149010492255911e-05,0.5028622807983625,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_7_n_l_3_seed_1926.pth,QNN,7,,,strong
QNN$_7$,1924,5,7.311337954888585e-05,0.9873157615947852,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_7_n_l_5_seed_1924.pth,QNN,7,,,strong
QNN$_7$,1925,5,4.1539125559211245e-05,0.4930964739803761,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_7_n_l_5_seed_1925.pth,QNN,7,,,strong
QNN$_7$,1926,5,4.966797139786649e-05,0.608697221183376,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_7_n_l_5_seed_1926.pth,QNN,7,,,strong
QNN$_7$,1973,1,8.534042244718875e-05,1.1161981095527245,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_7_n_l_1_seed_1973.pth,QNN,7,,,strong
QNN$_7$,2025,1,1.8563748235465027e-05,0.22334652995519969,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_7_n_l_1_seed_2025.pth,QNN,7,,,strong
QNN$_7$,2024,1,0.0001807777589419,2.671446199722164,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_7_n_l_1_seed_2024.pth,QNN,7,,,strong
QNN$_7$,2012,1,3.388434895896353e-05,0.404345834927368,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_7_n_l_1_seed_2012.pth,QNN,7,,,strong
QNN$_7$,1958,1,0.0001137524276418,1.624367220851837,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_7_n_l_1_seed_1958.pth,QNN,7,,,strong
QNN$_7$,1962,1,4.794853037310531e-05,0.5889782401743007,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_7_n_l_1_seed_1962.pth,QNN,7,,,strong
QNN$_7$,1997,1,5.450048356578918e-05,0.6711808338725632,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_7_n_l_1_seed_1997.pth,QNN,7,,,strong
QNN$_7$,1973,3,3.746007063455181e-05,0.4432446137444612,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_7_n_l_3_seed_1973.pth,QNN,7,,,strong
QNN$_7$,2025,3,5.947258014202816e-05,0.7229061956946404,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_7_n_l_3_seed_2025.pth,QNN,7,,,strong
QNN$_7$,2024,3,6.906241607794072e-05,0.8669918818285144,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_7_n_l_3_seed_2024.pth,QNN,7,,,strong
QNN$_7$,2012,3,3.734028599865269e-05,0.439510736476616,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_7_n_l_3_seed_2012.pth,QNN,7,,,strong
QNN$_7$,1958,3,3.712021909450414e-05,0.4363825203023754,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_7_n_l_3_seed_1958.pth,QNN,7,,,strong
QNN$_7$,1962,3,6.659147824393585e-05,0.8615792340469272,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_7_n_l_3_seed_1962.pth,QNN,7,,,strong
QNN$_7$,1997,3,5.325230526068481e-05,0.6519120411228281,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_7_n_l_3_seed_1997.pth,QNN,7,,,strong
QNN$_7$,1973,5,7.09514158370439e-05,0.8948916854001022,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_7_n_l_5_seed_1973.pth,QNN,7,,,strong
QNN$_7$,2025,5,4.089709655090701e-05,0.5063477803009607,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_7_n_l_5_seed_2025.pth,QNN,7,,,strong
QNN$_7$,2024,5,7.09608390025096e-05,0.9346600267717227,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_7_n_l_5_seed_2024.pth,QNN,7,,,strong
QNN$_7$,2012,5,5.246920158242574e-05,0.6211526954619061,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_7_n_l_5_seed_2012.pth,QNN,7,,,strong
QNN$_7$,1958,5,7.797001053404529e-05,1.047173923571529,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_7_n_l_5_seed_1958.pth,QNN,7,,,strong
QNN$_7$,1962,5,4.549590328679187e-05,0.5321773063804809,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_7_n_l_5_seed_1962.pth,QNN,7,,,strong
QNN$_7$,1997,5,5.224715496296994e-05,0.6285424546741326,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_7_n_l_5_seed_1997.pth,QNN,7,,,strong
QNN$_4$,1924,3,0.0001117754021834,1.5540643320695218,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_4_n_l_3_seed_1924.pth,QNN,4,,,strong
QNN$_4$,1925,3,0.0001114679544116,1.5604237481470098,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_4_n_l_3_seed_1925.pth,QNN,4,,,strong
QNN$_4$,1926,3,9.880025820166338e-05,1.344534597662002,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_4_n_l_3_seed_1926.pth,QNN,4,,,strong
QNN$_4$,1973,3,0.0001901266687491,2.8295733580909315,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_4_n_l_3_seed_1973.pth,QNN,4,,,strong
QNN$_4$,2025,3,0.0001066717071807,1.471256493717186,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_4_n_l_3_seed_2025.pth,QNN,4,,,strong
QNN$_4$,2024,3,0.0001085514485748,1.641511268568656,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_4_n_l_3_seed_2024.pth,QNN,4,,,strong
QNN$_4$,2012,3,0.0001312532869633,1.8344509274359808,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_4_n_l_3_seed_2012.pth,QNN,4,,,strong
QNN$_4$,1958,3,0.0001043735393614,1.4569393342334598,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_4_n_l_3_seed_1958.pth,QNN,4,,,strong
QNN$_4$,1962,3,9.226594149367883e-05,1.246173043900134,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_4_n_l_3_seed_1962.pth,QNN,4,,,strong
QNN$_4$,1997,3,9.692224484751933e-05,1.3055652967917253,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_4_n_l_3_seed_1997.pth,QNN,4,,,strong
QNN$_4$,1924,1,9.228888739016838e-05,1.2542773602085735,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_4_n_l_1_seed_1924.pth,QNN,4,,,strong
QNN$_4$,1925,1,0.0001789837620162,2.622751689850982,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_4_n_l_1_seed_1925.pth,QNN,4,,,strong
QNN$_4$,1926,1,9.530576098768508e-05,1.3183601464686918,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_4_n_l_1_seed_1926.pth,QNN,4,,,strong
QNN$_4$,1973,1,0.000208494784747,3.1309226162122017,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_4_n_l_1_seed_1973.pth,QNN,4,,,strong
QNN$_4$,2025,1,0.0001003045056131,1.361324627274187,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_4_n_l_1_seed_2025.pth,QNN,4,,,strong
QNN$_4$,2024,1,0.0002068046001659,3.0855009279420433,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_4_n_l_1_seed_2024.pth,QNN,4,,,strong
QNN$_4$,2012,1,0.0002031902431917,3.0366261660002962,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_4_n_l_1_seed_2012.pth,QNN,4,,,strong
QNN$_4$,1958,1,0.0001036839809967,1.4595308682935744,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_4_n_l_1_seed_1958.pth,QNN,4,,,strong
QNN$_4$,1962,1,0.000210752117855,3.159970969684966,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_4_n_l_1_seed_1962.pth,QNN,4,,,strong
QNN$_4$,1997,1,0.0001952451297256,2.9001039097402215,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_4_n_l_1_seed_1997.pth,QNN,4,,,strong
QNN$_4$,1924,5,0.0001803741342155,3.0451849793351635,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_4_n_l_5_seed_1924.pth,QNN,4,,,strong
QNN$_4$,1925,5,0.0001151541728904,1.5892529133892712,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_4_n_l_5_seed_1925.pth,QNN,4,,,strong
QNN$_4$,1926,5,0.0001113408184755,1.6279234453935603,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_4_n_l_5_seed_1926.pth,QNN,4,,,strong
QNN$_4$,1973,5,0.0001033778660348,1.4345048627092736,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_4_n_l_5_seed_1973.pth,QNN,4,,,strong
QNN$_4$,2025,5,9.2640362054226e-05,1.236132378248094,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_4_n_l_5_seed_2025.pth,QNN,4,,,strong
QNN$_4$,2024,5,0.0001069821838609,1.474525628760591,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_4_n_l_5_seed_2024.pth,QNN,4,,,strong
QNN$_4$,2012,5,0.0001201098039746,1.6574940336317578,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_4_n_l_5_seed_2012.pth,QNN,4,,,strong
QNN$_4$,1958,5,7.931302199722268e-05,1.0434735690410002,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_4_n_l_5_seed_1958.pth,QNN,4,,,strong
QNN$_4$,1962,5,0.0001007264287181,1.4204931432144103,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_4_n_l_5_seed_1962.pth,QNN,4,,,strong
QNN$_4$,1997,5,0.0001104972232133,1.497374315531351,experimentos_pinn/modelos_salvos/modelo_qnn_strong_n_qubits_4_n_l_5_seed_1997.pth,QNN,4,,,strong
R-QNN$^{(2)}_4$,1924,1,4.509174617851386e-05,0.5722974354735163,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_1_seed_1924.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,1925,1,1.7830896431405564e-05,0.18965314505365158,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_1_seed_1925.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,1926,1,4.76576079017832e-05,0.571698716013959,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_1_seed_1926.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,1924,3,5.056714537204243e-05,0.556549630489222,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_3_seed_1924.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,1925,3,1.8075718853651778e-05,0.22765339903551116,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_3_seed_1925.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,1926,3,3.746490096091293e-05,0.4408094321770334,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_3_seed_1926.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,1973,1,2.971856101794401e-05,0.381840097655348,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_1_seed_1973.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,2025,1,0.0001222666422836,1.728671907162695,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_1_seed_2025.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,2024,1,7.510231648666377e-06,0.1134552060579287,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_1_seed_2024.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,2012,1,4.6460417834168766e-05,0.5661132188748955,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_1_seed_2012.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,1958,1,0.0001395038170448,2.0014127077738344,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_1_seed_1958.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,1962,1,5.63842874544207e-05,0.6869756336508344,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_1_seed_1962.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,1997,1,2.3035974772938062e-05,0.2687788084463017,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_1_seed_1997.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,1973,3,1.280123855394777e-05,0.4195893467594031,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_3_seed_1973.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,2025,3,2.89455110214476e-05,0.48167674559446577,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_3_seed_2025.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,2024,3,3.511121381961857e-05,0.3401232520900569,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_3_seed_2024.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,2012,3,1.200282891659299e-05,0.17076468438016024,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_3_seed_2012.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,1958,3,2.795708018311416e-05,0.2813195613410451,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_3_seed_1958.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,1962,3,4.307157865696354e-05,0.5081758642453706,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_3_seed_1962.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,1997,3,3.2581665509496814e-05,0.42142982616607183,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_3_seed_1997.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,1924,5,2.327616230104468e-05,0.5536255675184419,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_5_seed_1924.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,1925,5,4.046131754876114e-05,0.8633607492529124,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_5_seed_1925.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,1926,5,3.7088990211486816e-05,0.3834683218456493,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_5_seed_1926.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,1973,5,2.3935400786285755e-05,0.2037975285433698,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_5_seed_1973.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,2025,5,1.715161961328704e-05,0.21200656084441932,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_5_seed_2025.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,2024,5,3.414048478589393e-05,0.2471794882935917,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_5_seed_2024.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,2012,5,6.489842569862959e-05,0.7584402990058,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_5_seed_2012.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,1958,5,3.784505654039094e-05,0.596258731898652,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_5_seed_1958.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,1962,5,1.0807271937665064e-05,0.14164360217963928,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_5_seed_1962.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,1997,5,9.4203640219348e-06,0.12074710487402607,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_5_seed_1997.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(3)}_4$,1924,1,9.438277538720286e-06,0.13863899803999044,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_1_seed_1924.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1925,1,3.1502018464379945e-05,0.38917162269916616,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_1_seed_1925.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1926,1,8.040188455197494e-05,1.040431626789131,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_1_seed_1926.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1924,3,1.665290250457474e-05,0.16597768376052158,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_3_seed_1924.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1925,3,4.877226641838206e-05,0.6440051951713095,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_3_seed_1925.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1926,3,2.6868004897551143e-05,0.35379264299422897,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_3_seed_1926.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1973,1,2.2908173741598147e-05,0.2874336764394024,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_1_seed_1973.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,2025,1,1.72953458786651e-05,0.22962110548247083,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_1_seed_2025.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,2024,1,1.860216369095724e-05,0.2173500993026109,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_1_seed_2024.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,2012,1,1.0115936302099726e-05,0.11908230155910178,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_1_seed_2012.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1958,1,2.5700881506054428e-05,0.3267558979806658,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_1_seed_1958.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1962,1,3.23557123192586e-05,0.3928741983992656,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_1_seed_1962.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1997,1,3.213375348423142e-05,0.38803079705563503,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_1_seed_1997.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1973,3,1.62159270439588e-05,0.17310786535199965,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_3_seed_1973.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,2025,3,2.579533678726875e-05,0.3072942768556207,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_3_seed_2025.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,2024,3,1.92626091393322e-05,0.24071095985913418,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_3_seed_2024.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,2012,3,9.044537700901857e-06,0.15109026853527838,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_3_seed_2012.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1958,3,6.598772772122175e-05,0.950698279730497,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_3_seed_1958.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1962,3,1.0987822479364697e-05,0.14588131304581786,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_3_seed_1962.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1997,3,4.793146210431587e-05,0.4015473384654386,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_3_seed_1997.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1924,5,3.2506427487533074e-05,0.4022461467037479,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_5_seed_1924.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1925,5,1.9580782154662305e-05,0.24729300338379986,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_5_seed_1925.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1926,5,2.597166363557335e-05,0.20222045949503648,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_5_seed_1926.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1973,5,2.9856152559659675e-05,0.2971059132971379,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_5_seed_1973.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,2025,5,3.898816205037293e-05,0.4578063387030065,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_5_seed_2025.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,2024,5,3.1105456255318135e-05,0.676768346845662,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_5_seed_2024.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,2012,5,7.243822517921216e-05,0.9063580370125265,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_5_seed_2012.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1958,5,1.385941477110464e-05,0.12148844393971722,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_5_seed_1958.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1962,5,2.241166706880904e-05,0.18533499624533623,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_5_seed_1962.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1997,5,1.1299969637548202e-05,0.13647909431341249,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_5_seed_1997.pth,CQNN,4,3.0,7.0,strong
